,Type,Name,Age,Gender,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,AdoptionSpeed,ColorName_x,ColorName_y,ColorName,BreedName_x,BreedName_y,StateName_x
0,2,Golden Tabby Girl,1,2.0,,1,2,1,2,1,1,50,41326,438a9bdce8ef4d5948fc40e422d34d0d,0,"A cute tabby kitten looking for new home. She is Golden Tabby Girl, about 1.5 months old now. She has thick, golden fur with remarkable brown stripes. She has beautiful, round, copper eyes & a cute bob-tail. She has de-flea and was de-wormed on 24th December . She is feeding on kibbles already, but sometimes we gave her wet food (canned fish) as treat. She is healthy, very active & playful. She loves to roll on the grass in the garden. She is toilet (potty) trained & is ready to go at anytime. *RM 50 adoption fee would be paid to Cat Charity Club (CCC) for rescuing other stray cats. *Another RM neutering / spaying deposit would be fully refundable once the surgery is done. Anyone interested, please call .",dae13a47e,7.0,1,Brown,Golden,,Tabby,Domestic Short Hair,Selangor
1,2,Ogen & Oyen,2,3.0,1.0,2,2,2,2,1,2,0,41326,15316b9044ea4f6a57f6cb4b45fc67aa,0,"Ogen (male) & Oyen (female) are about 2 months old. They were born on 17th Jan and 23rd Jan respectively. Yes they both are from separate mother. They will be up for adoption on 1st April (about 9 weeks old). Anyone interested can contact me for pre-booking. This will also provide you some time to do the preparation before this two cute kitten come to your lovely home. I only prefer cat lover, if possible want them to be adopted as pair. Because I love to see them both together and they are very attached to each other. Very playful and healthy. Due to limited space, this two baby is open for adoption because currently I have 16 cats at home. These cute baby should be an INDOOR cat only (I never let any of my cat out before, so they have not been expose to outdoor). Very sad to let them go actually~ Currently they are on Royal Canin Mother & babycat for kitten 4 months and below.",718b14a08,2.0,1,Brown,Golden,Cream,Domestic Medium Hair,Domestic Short Hair,Selangor
2,2,Noah And Nellie,2,3.0,1.0,1,1,1,2,1,2,0,41326,2e4363f80f02bda5f2f8115b6ce6aef6,0,"Once again, thanks to petfinder, Noah and Nellie have been successfully adopted. Thanks for providing such a wonderful service Petfinder",4a590a1cc,5.0,1,Brown,Golden,Cream,Tabby,Tabby,Selangor
3,2,Money,1,2.0,1.0,1,3,3,3,1,1,0,41326,5201c3e05aa6ff174b006c070e9a06b5,0,Please adopt this cute little kitten... I eanted to keep her.. But i cant becase i have a dog in my house,19982272a,4.0,4,Brown,Golden,Cream,Domestic Short Hair,Domestic Medium Hair,Selangor
4,1,Karlo,2,1.0,2.0,2,2,2,2,1,1,0,41326,95481e953f8aed9ec3d16fc4509537e8,0,"Meet Karlo, brother of little Karla, the cutest ever puppy in the world. He is so friendly and just loves to tag at your shoe lace. Karlo was rescued in Kundang playing on the road. He is around 3 months old , cream and has been vaccinated. Call urgently if you're interested in adopting the wonderful boy",f61c4cead,1.0,3,Brown,Golden,Cream,Mixed Breed,Mixed Breed,Selangor
5,1,Puppy,2,1.0,1.0,1,2,2,3,1,3,0,41326,793a857b0f2db4c0ed8fd9e38cc7cb5f,0,Those puppies at damansara. all puppis are male.. two months old. interested do call to this number,8cf927527,1.0,3,Brown,Golden,Cream,Mixed Breed,Mixed Breed,Selangor
6,1,Lola,2,2.0,2.0,1,3,1,1,1,1,0,41326,e8b60179614aa81703e01108649313b4,0,"""Lola"" Friendly, petite sized dog available for adoption.",030f32f08,3.0,4,Brown,Golden,Cream,Mixed Breed,Mixed Breed,Selangor
7,1,Peanut,2,2.0,2.0,1,3,3,3,1,1,0,41326,935ec4de4f15f6f68fef5d9ae678ea18,0,Friendly and bubbly little pup . Seems pretty healthy and gets along well with other dogs .,8019d0c63,3.0,4,Brown,Golden,Cream,Mixed Breed,Mixed Breed,Selangor
8,1,Honey,12,2.0,2.0,2,2,2,2,1,1,0,41326,ef52d7a48aa67cf013b1d54a7ac7d806,0,Original owner had a few puppies and was not able to take care all of them. They decided to let them run freely when it was too young. I took a few of them and took care untill they find a proper home. Honey is very friendly dog and she loves to play fetch. She gets along very well with children and other dogs. All she needs is attention. Very loving. Honey is the bigger dog you can see from the picture. The smaller one is not for adoption.,f5fc7d4a5,1.0,4,Brown,Golden,Cream,Terrier,Mixed Breed,Selangor
9,1,Naari,36,2.0,2.0,3,1,1,1,1,1,0,41326,95481e953f8aed9ec3d16fc4509537e8,0,Naari is the sweetest girl who walked the earth. She just likes to be patted and most of the time minds her own business... If you give this sweet girl a chance you will never regret it. Please open your hearts to her. Call us immediately at. A must view.,1a54d4e92,3.0,3,Brown,Golden,Cream,Terrier,Terrier,Selangor
